Unidade Estratégica,Relacionamento Interpessoal,Liderança,Organização,Responsabilidade,Flexibilidade,Disponibilidade,Comunicação,Gestão de Materiais,Atualização,Conhecimento
Auditoria,4,4,4,5,5,5,4,5,5,5
Auditoria,5,5,5,5,5,5,4,5,5,5
Auditoria,4,5,4,4,4,4,4,5,5,5
Auditoria,4,4,4,5,5,5,4,5,5,4
Auditoria,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,5,5,4,4,5,5,4,5,4,4
Biblioteca Central,5,5,5,5,5,5,5,5,5,5
Biblioteca Central,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,4,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,4,4,5,4,5,5,5,5,4
Centro de Artes,3,3,4,4,3,3,3,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,4,4,4,4,4,3,4,4,4,4
Centro de Artes,5,5,4,5,5,5,5,5,5,5
Centro de Artes,4,4,4,4,5,4,5,4,4,4
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,4,5,4,5,4,5,5,5
Centro de Artes,4,4,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,4,5,5
Centro de Artes,4,3,4,4,3,3,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,3,5,4,5,3,3,5,5,4
Centro de Ciências da Saúde,5,5,5,5,5,4,4,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
